sh600019,600019,宝钢股份,6.540,-0.18,-2.679
sh600020,600020,中原高速,3.980,-0.08,-1.97
sh600021,600021,上海电力,9.090,-0.13,-1.41
sh600022,600022,山东钢铁,1.370,-0.02,-1.439
sh600023,600023,浙能电力,6.130,-0.03,-0.487
sh600025,600025,华能水电,10.250,-0.25,-2.381
sh600026,600026,中远海能,12.900,-0.77,-5.633
sh600027,600027,华电国际,5.470,-0.06,-1.085
sh600028,600028,中国石化,6.500,-0.09,-1.366
sh600029,600029,南方航空,5.800,-0.01,-0.172
sh600030,600030,中信证券,26.160,-0.25,-0.947
sh600031,600031,三一重工,17.730,-0.44,-2.422
sh600032,600032,浙江新能,7.920,-0.15,-1.859
sh600033,600033,福建高速,3.430,-0.09,-2.557
sh600035,600035,楚天高速,4.080,-0.07,-1.687
sh600036,600036,招商银行,38.490,-1.01,-2.557
sh600037,600037,歌华有线,6.540,-0.08,-1.208
sh600038,600038,中直股份,39.380,-0.59,-1.476
sh600039,600039,四川路桥,9.000,0.71,8.565
sh600048,600048,保利发展,10.320,-1.07,-9.394
sh600050,600050,中国联通,5.070,-0.09,-1.744
sh600053,600053,九鼎投资,15.200,0.2,1.333
sh600054,600054,黄山旅游,11.130,-0.01,-0.09
sh600055,600055,万东医疗,13.200,-0.21,-1.566
sh600056,600056,中国医药,10.800,-0.2,-1.818
sh600057,600057,厦门象屿,6.020,-0.25,-3.987
sh600058,600058,五矿发展,6.840,-0.08,-1.156
sh600059,600059,古越龙山,8.350,-0.14,-1.649
sh600060,600060,海信视像,18.650,0.05,0.269
sh600061,600061,国投资本,7.330,-0.11,-1.478
sh600062,600062,华润双鹤,22.800,-0.24,-1.042
sh600063,600063,皖维高新,3.680,-0.08,-2.128
sh600064,600064,南京高科,6.690,-0.25,-3.602
sh600066,600066,宇通客车,24.670,-0.29,-1.162
sh600071,600071,凤凰光学,21.550,0.5,2.375
sh600072,600072,中船科技,13.170,-0.26,-1.936
sh600073,600073,光明肉业,6.400,-0.07,-1.082
sh600075,600075,新疆天业,4.160,-0.11,-2.576
sh600079,600079,人福医药,20.870,-0.23,-1.09
sh600081,600081,东风科技,9.290,-0.12,-1.275
sh600084,600084,中信尼雅,5.060,-0.06,-1.172
sh600085,600085,同仁堂,35.600,-0.42,-1.166
sh600088,600088,中视传媒,15.760,0.19,1.22
sh600089,600089,特变电工,12.630,-0.29,-2.245
sh600094,600094,大名城,3.840,-0.22,-5.419
sh600095,600095,湘财股份,7.190,-0.11,-1.507
sh600096,600096,云天化,22.420,-0.48,-2.096
sh600098,600098,广州发展,6.220,-0.11,-1.738
sh600100,600100,同方股份,6.260,0.05,0.805
